Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
Melissa (George),"Gino, Alex",,,,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge
The Female of the Species,"McGinnis, Mindy",,,,Iowa,Indianola Community School District,October 2023,Banned,Administration
The Snowflake: Winter's Secret Beauty,"Libbrecht, Kenneth George",,,,Texas,North East Independent School District,June 2024,Banned,Administration
The Angel of Death,"Ferguson, Alane",,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Family of Liars: The Prequel to We Were Liars,"Lockhart, E",,,,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
The Good Earth (Graphic Adaptation),"Buck, Pearl S.",,"Bertozzi, Nick",,Missouri,Rockwood School District,August 2022,Banned from Libraries and Classrooms,Legislative Action
The Amber Spyglass,"Pullman, Philip",,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Identical,"Hopkins, Ellen",,,,Iowa,Edgewood-Colesburg Community School District,June 2024,Banned,Administration
The Moon Within,"Salazar, Aida",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Crank,"Hopkins, Ellen",,,,Iowa,Sigourney Community School District,October 2023,Banned,Administration
We Are Okay,"LaCour, Nina",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Tree Grows in Brooklyn,"Smith, Betty",,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
Speak,"Anderson, Laurie Halse",,,,Iowa,Keota Community School District,October 2023,Banned,Administration
I'll Give You the Sun,"Nelson, Jandy",,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Prince & Knight (Prince & Knight Series),"Haack, Daniel",,"Lewis, Stevie",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Solace of the Road,"Dowd, Siobhan",,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Cup of the World,"Dickinson, John",,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Perpetual Check,"Wallace, Rich",,,,Texas,North East Independent School District,June 2024,Banned,Administration
Harvesting the Heart,"Picoult, Jodi",,,,Iowa,West Burlington Independent School District,June 2024,Banned,Administration
